DBN,School,Year,Total Enrollment,Num_PK,Num_K,Num_G1,Num_G2,Num_G3,Num_G4,Num_G5,Num_G6,Num_G7,Num_G8,Num_G9,Num_G10,Num_G11,Num_G12,Female,Male,Asian,Black,Hispanic,Multiple,White,Disability,ELL,Poverty,Need_Index
01M448,University Neighborhood High School,2017-18,465,0,0,0,0,0,0,0,0,0,0,160,130,94,81,0.425806463,0.574193537,0.303225815,0.215053767,0.443010747,0.006451613,0.032258064,0.172043011,0.10537634,0.892473102,0.829193532
01M448,University Neighborhood High School,2018-19,483,0,0,0,0,0,0,0,0,0,0,131,139,120,93,0.476190478,0.523809552,0.368530035,0.194616973,0.380952388,0.010351967,0.045548655,0.16770187,0.146997929,0.867494822,0.820022762
01M450,East Side Community School,2014-15,666,0,0,0,0,0,0,0,103,91,87,94,101,93,97,0.469969958,0.530030012,0.09309309,0.214714721,0.564564586,0.019519519,0.108108111,0.27477476,0.012012012,0.741741717,0.599502504
01M450,East Side Community School,2015-16,677,0,0,0,0,0,0,0,95,103,93,103,96,97,90,0.493353039,0.506646991,0.107828654,0.205317572,0.533234835,0.033973411,0.119645491,0.282127023,0.00886263,0.695716381,0.586834133
01M450,East Side Community School,2016-17,699,0,0,0,0,0,0,0,108,91,107,107,96,101,89,0.479256094,0.520743906,0.111587986,0.180257514,0.54506439,0.030042918,0.133047208,0.286123037,0.005722461,0.679542184,0.574905574
01M450,East Side Community School,2017-18,683,0,0,0,0,0,0,0,99,105,94,95,100,93,97,0.464128852,0.535871148,0.118594438,0.165446565,0.537335277,0.032210834,0.146412879,0.266471446,0.008784773,0.654465616,0.628819883
01M450,East Side Community School,2018-19,680,0,0,0,0,0,0,0,101,101,108,96,93,91,90,0.474999994,0.524999976,0.117647059,0.166176468,0.538235307,0.025,0.152941182,0.270588249,0.013235294,0.664705873,0.640522063
01M458,Forsyth Satellite Academy,2014-15,179,0,0,0,0,0,0,0,0,0,0,29,49,47,54,0.569832385,0.430167586,0.011173184,0.424580991,0.541899443,0.005586592,0.016759777,0.17318435,0.089385472,0.821229041,0.737961709
01M458,Forsyth Satellite Academy,2015-16,215,0,0,0,0,0,0,0,0,0,0,17,85,50,63,0.586046517,0.413953483,0.013953488,0.367441863,0.600000024,0.004651163,0.013953488,0.209302321,0.069767445,0.711627901,0.723081946
01M458,Forsyth Satellite Academy,2016-17,212,0,0,0,0,0,0,0,0,0,0,11,53,74,74,0.580188692,0.419811308,0.004716981,0.358490556,0.599056602,0.004716981,0.033018868,0.21226415,0.051886793,0.683962286,0.649207532
01M458,Forsyth Satellite Academy,2017-18,203,0,0,0,0,0,0,0,0,0,0,16,65,79,43,0.576354682,0.423645318,0.004926108,0.344827592,0.596059084,0.009852217,0.044334974,0.280788183,0.078817733,0.866995096,0.849600971
01M458,Forsyth Satellite Academy,2018-19,194,0,0,0,0,0,0,0,0,0,0,19,46,77,52,0.530927837,0.469072163,0,0.432989687,0.50515461,0.020618556,0.041237112,0.319587618,0.056701031,0.840206206,0.848092794
01M509,Marta Valle High School,2014-15,363,0,0,0,0,0,0,0,0,0,0,112,119,52,80,0.567493141,0.432506889,0.05785124,0.39944905,0.509641886,0.005509642,0.027548209,0.28374657,0.090909094,0.859504104,0.767922163
01M509,Marta Valle High School,2015-16,272,0,0,0,0,0,0,0,0,0,0,81,83,50,58,0.610294104,0.389705896,0.033088237,0.422794104,0.522058845,0.003676471,0.018382354,0.279411763,0.080882356,0.900735319,0.789409399
01M509,Marta Valle High School,2016-17,204,0,0,0,0,0,0,0,0,0,0,51,58,47,48,0.617647052,0.382352948,0.029411765,0.352941185,0.593137264,0.004901961,0.019607844,0.294117659,0.088235296,0.911764681,0.75927943
