FISCAL_YEAR,LOCATION_CODE,GEOGRAPHICAL_DISTRICT_CODE,LOCATION_NAME,MANAGED_BY_NAME,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,LONGITUDE,LATITUDE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME
2019,K0MS,16,Special Education,DOE,K026,1014 LAFAYETTE AVENUE,NY,40.6921,-73.9317,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K0MS,16,Special Education,DOE,K026,1014 LAFAYETTE AVENUE,NY,40.6921,-73.9317,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K100,21,P.S. 100 The Coney Island School,DOE,K100,2951 WEST  3 STREET,NY,40.577591,-73.97083,313,48,35602,3072810001,BK23,West Brighton
2019,K101,21,P.S. 101 The Verrazano,DOE,K101,2360 BENSON AVENUE,NY,40.597379,-73.991962,311,47,30200,3068750032,BK29,Bensonhurst East
2019,K102,20,P.S. 102 The Bayview,DOE,K102,211 72 STREET,NY,40.634318,-74.028758,310,43,6800,3058900001,BK31,Bay Ridge
2019,K104,20,P.S./I.S. 104 The Fort Hamilton School,DOE,K104,9115 5 AVENUE,NY,40.618077,-74.028492,310,43,16000,3060880001,BK31,Bay Ridge
2019,K105,20,P.S. 105 The Blythebourne,DOE,K105,1031 59 STREET,NY,40.63332,-74.003635,312,38,21400,3057020001,BK88,Borough Park
2019,K106,32,P.S. 106 Edward Everett Hale,DOE,K106,1328 PUTNAM AVENUE,NY,40.693318,-73.913378,304,37,41500,3033760034,BK78,Bushwick South
2019,K107,15,P.S. 107 John W. Kimball,DOE,K107,1301 8 AVENUE,NY,40.662945,-73.981181,306,39,16700,3011010001,BK37,Park Slope-Gowanus
2019,K108,19,P.S. 108 Sal Abbracciamento,DOE,K108,200 LINWOOD STREET,NY,40.681295,-73.884348,305,37,117202,3039260045,BK83,Cypress Hills-City Line
